date,gold 
2011-01-09,49
2011-01-16,51
2011-01-23,50
2011-01-30,58
2011-02-06,49
2011-02-13,49
2011-02-20,58
2011-02-27,54
2011-03-06,50
2011-03-13,46
2011-03-20,50
2011-03-27,48
2011-04-03,51
2011-04-10,46
2011-04-17,63
2011-04-24,58
2011-05-01,50
2011-05-08,48
2011-05-15,47
2011-05-22,43
2011-05-29,46
2011-06-05,47
2011-06-12,54
2011-06-19,47
2011-06-26,51
2011-07-03,47
2011-07-10,52
2011-07-17,65
2011-07-24,61
2011-07-31,69
2011-08-07,100
2011-08-14,76
2011-08-21,71
2011-08-28,55
2011-09-04,52
2011-09-11,49
2011-09-18,55
2011-09-25,55
2011-10-02,47
2011-10-09,52
2011-10-16,45
2011-10-23,52
2011-10-30,49
2011-11-06,45
2011-11-13,50
2011-11-20,53
2011-11-27,55
2011-12-04,49
2011-12-11,57
2011-12-18,57
2011-12-25,63
2012-01-01,48
2012-01-08,45
2012-01-15,52
2012-01-22,48
2012-01-29,47
2012-02-05,43
2012-02-12,50
2012-02-19,46
2012-02-26,48
2012-03-04,42
2012-03-11,40
2012-03-18,39
2012-03-25,43
2012-04-01,42
2012-04-08,40
2012-04-15,39
2012-04-22,43
2012-04-29,42
2012-05-06,44
2012-05-13,44
2012-05-20,50
2012-05-27,57
2012-06-03,57
2012-06-10,56
2012-06-17,53
2012-06-24,54
2012-07-01,57
2012-07-08,51
2012-07-15,50
2012-07-22,54
2012-07-29,53
2012-08-05,51
2012-08-12,55
2012-08-19,49
2012-08-26,50
2012-09-02,51
2012-09-09,47
2012-09-16,57
2012-09-23,49
2012-09-30,50
2012-10-07,47
2012-10-14,41
2012-10-21,47
2012-10-28,41
2012-11-04,50
2012-11-11,52
2012-11-18,50
2012-11-25,53
2012-12-02,52
2012-12-09,53
2012-12-16,51
2012-12-23,57
2012-12-30,53
2013-01-06,48
2013-01-13,48
2013-01-20,47
2013-01-27,47
2013-02-03,43
2013-02-10,48
2013-02-17,50
2013-02-24,44
2013-03-03,44
2013-03-10,44
2013-03-17,47
2013-03-24,45
2013-03-31,48
2013-04-07,49
2013-04-14,82
2013-04-21,54
2013-04-28,46
2013-05-05,42
2013-05-12,48
2013-05-19,45
