Category: All categories

Week,AC.TO: (Canada)
2019-09-08,6
2019-09-15,6
2019-09-22,6
2019-09-29,0
2019-10-06,6
2019-10-13,0
2019-10-20,0
2019-10-27,6
2019-11-03,6
2019-11-10,0
2019-11-17,6
2019-11-24,0
2019-12-01,0
2019-12-08,0
2019-12-15,19
2019-12-22,0
2019-12-29,6
2020-01-05,0
2020-01-12,6
2020-01-19,6
2020-01-26,0
2020-02-02,9
2020-02-09,12
2020-02-16,6
2020-02-23,14
2020-03-01,6
2020-03-08,24
2020-03-15,58
2020-03-22,79
2020-03-29,82
2020-04-05,66
2020-04-12,57
2020-04-19,54
2020-04-26,87
2020-05-03,88
2020-05-10,73
2020-05-17,83
2020-05-24,62
2020-05-31,100
2020-06-07,89
2020-06-14,69
2020-06-21,58
2020-06-28,40
2020-07-05,59
2020-07-12,72
2020-07-19,59
2020-07-26,64
2020-08-02,51
2020-08-09,43
2020-08-16,51
2020-08-23,66
2020-08-30,87
